Geography,Gender,Age,Balance,NumOfProducts,Exited
Germany,Male,36.0,131778.58,1,1
Germany,Male,40.0,81274.33,1,0
Germany,Female,27.0,161801.47,2,0
Germany,Male,40.0,90432.92,1,0
Germany,Female,55.0,120105.43,1,1
Germany,Female,43.0,85200.82,1,0
Germany,Male,44.0,121823.26,1,1
Germany,Male,50.0,132576.25,1,1
Germany,Male,28.0,130969.77,2,0
Germany,Male,31.0,82293.82,2,1
Germany,Male,58.0,114514.71,1,1
Germany,Female,31.0,142293.54,3,1
Germany,Female,35.0,101099.9,1,0
Germany,Male,34.0,154737.88,2,0
Germany,Male,38.0,131136.97,2,0
Germany,Male,41.0,124439.49,2,0
Germany,Female,43.0,129845.53,1,1
Germany,Female,34.0,126731.71,1,1
Germany,Male,26.0,127539.9,2,0
Germany,Female,34.0,131569.63,1,0
Germany,Female,38.0,106920.91,1,1
Germany,Male,37.0,132627.51,1,1
Germany,Male,30.0,126683.4,1,0
Germany,Female,43.0,123873.52,1,0
Germany,Female,21.0,137553.29,2,0
Germany,Male,58.0,130147.98,2,1
Germany,Female,36.0,139979.07,2,0
Germany,Male,29.0,137555.44,2,0
Germany,Female,52.0,103421.8,1,1
Germany,Female,47.0,140700.61,1,1
Germany,Female,28.0,133658.24,1,0
Germany,Female,32.0,125445.04,2,0
Germany,Female,36.0,92310.54,1,1
Germany,Female,42.0,131345.26,1,1
Germany,Female,58.0,131644.0,1,1
Germany,Male,42.0,121240.54,2,0
Germany,Female,24.0,110581.29,2,0
Germany,Female,29.0,160579.17,2,0
Germany,Female,32.0,118897.1,1,0
Germany,Male,33.0,125584.17,1,0
Germany,Male,29.0,107839.9,2,0
Germany,Male,35.0,129847.75,2,0
Germany,Female,50.0,98862.54,1,1
Germany,Male,32.0,95900.04,2,0
Germany,Male,53.0,108004.64,4,1
Germany,Male,24.0,122532.35,1,0
Germany,Female,24.0,100735.57,2,1
Germany,Female,40.0,106261.67,2,0
Germany,Male,44.0,144772.69,3,1
Germany,Male,50.0,125841.59,2,1
Germany,Female,49.0,137494.28,1,1
Germany,Female,57.0,128264.03,1,1
Germany,Male,39.0,85982.89,1,1
Germany,Female,64.0,160858.13,1,1
Germany,Female,29.0,139432.37,1,0
Germany,Female,22.0,157622.58,2,0
Germany,Female,38.0,106942.08,1,0
Germany,Female,34.0,89437.03,3,1
Germany,Female,27.0,131244.65,1,0
Germany,Male,39.0,123981.31,1,1
Germany,Male,39.0,151762.74,2,0
Germany,Male,35.0,140966.55,1,0
Germany,Female,37.0,91718.9,1,0
Germany,Male,40.0,92436.86,2,0
Germany,Female,49.0,120140.59,2,1
Germany,Female,39.0,81710.46,2,0
Germany,Female,35.0,129668.43,2,0
Germany,Male,50.0,146720.98,1,0
Germany,Male,41.0,140197.01,1,0
Germany,Male,40.0,97067.69,1,0
Germany,Female,29.0,154640.41,1,0
Germany,Female,43.0,132906.88,1,1
Germany,Female,32.0,148843.56,2,0
Germany,Male,56.0,140891.46,1,0
Germany,Female,28.0,139994.55,2,0
Germany,Female,39.0,124182.22,2,0
Germany,Male,34.0,112290.22,1,0
Germany,Female,49.0,97036.22,2,0
Germany,Female,47.0,135869.93,1,1
Germany,Female,52.0,123906.94,1,1
Germany,Male,43.0,121537.42,2,0
Germany,Male,46.0,104449.8,1,0
Germany,Female,39.0,97331.19,2,1
Germany,Male,32.0,121016.23,1,0
Germany,Male,31.0,109166.54,1,0
Germany,Male,64.0,101514.76,2,1
Germany,Male,24.0,111769.14,2,0
Germany,Male,32.0,122453.97,2,0
Germany,Male,48.0,121898.58,1,1
Germany,Male,31.0,115095.58,2,0
Germany,Male,51.0,163894.35,1,1
Germany,Female,19.0,151675.65,1,0
Germany,Male,38.0,38848.19,2,0
Germany,Female,32.0,129248.11,2,0
Germany,Female,38.0,138731.95,2,0
Germany,Male,33.0,176511.08,1,0
Germany,Female,51.0,169743.03,1,0
Germany,Male,39.0,114715.71,1,1
Germany,Female,32.0,117413.95,1,1
Germany,Male,45.0,110765.68,1,0
Germany,Female,46.0,114088.2,1,1
Germany,Male,37.0,139822.11,2,0
Germany,Female,34.0,82498.14,2,0
Germany,Male,28.0,161274.95,2,0
Germany,Male,40.0,114634.63,1,0
Germany,Male,36.0,115084.32,1,0
Germany,Female,48.0,145537.21,1,1
Germany,Male,43.0,137852.19,2,0
Germany,Male,45.0,108883.29,1,0
Germany,Male,53.0,117640.39,1,0
Germany,Female,40.0,141573.55,1,0
Germany,Female,47.0,100252.54,1,1
Germany,Female,54.0,98373.26,1,1
Germany,Female,30.0,134366.42,2,0
Germany,Female,35.0,91857.52,1,1
Germany,Male,44.0,72664.9,1,0
Germany,Male,37.0,170840.08,1,0
Germany,Female,48.0,110153.27,1,1
Germany,Female,40.0,108894.07,1,1
Germany,Female,43.0,118079.33,1,0
Germany,Female,52.0,71187.24,1,1
Germany,Male,33.0,127536.44,1,0
Germany,Male,37.0,122949.14,2,0
Germany,Female,35.0,114327.67,1,1
Germany,Male,58.0,155735.55,1,1
Germany,Female,27.0,123916.67,1,1
Germany,Female,23.0,132436.6,2,0
Germany,Female,25.0,106570.34,2,0
Germany,Male,32.0,102772.67,1,1
Germany,Female,58.0,137795.57,1,1
Germany,Male,49.0,130142.79,1,1
Germany,Male,38.0,79871.64,2,0
Germany,Male,41.0,92350.37,1,0
Germany,Male,29.0,155994.15,1,0
