Geography,Gender,Age,Balance,NumOfProducts,Exited
Spain,Male,33.0,0.0,2,0
Spain,Male,37.0,138476.41,1,0
Spain,Male,71.0,0.0,1,0
Spain,Male,35.0,0.0,2,0
Spain,Male,39.0,0.0,1,1
Spain,Male,31.0,136789.14,2,0
Spain,Male,41.0,0.0,1,1
Spain,Female,55.0,99208.46,2,1
Spain,Male,45.0,0.0,2,0
Spain,Male,31.0,122449.31,2,0
Spain,Male,37.0,0.0,1,0
Spain,Male,34.0,132439.99,1,0
Spain,Male,56.0,110939.3,1,1
Spain,Male,35.0,0.0,2,0
Spain,Male,30.0,0.0,2,0
Spain,Female,35.0,0.0,2,0
Spain,Male,50.0,0.0,2,0
Spain,Male,36.0,139422.39,1,0
Spain,Male,64.0,0.0,1,0
Spain,Male,32.0,0.0,2,0
Spain,Female,39.0,107042.74,1,1
Spain,Male,43.0,161807.18,2,0
Spain,Male,35.0,133476.09,1,0
Spain,Female,23.0,146584.19,2,1
Spain,Male,28.0,0.0,1,0
Spain,Male,30.0,0.0,2,0
Spain,Female,38.0,0.0,2,0
Spain,Male,34.0,102025.32,1,0
Spain,Male,43.0,89800.14,1,0
Spain,Female,43.0,91711.66,1,1
Spain,Male,39.0,0.0,2,0
Spain,Female,25.0,0.0,2,0
Spain,Female,36.0,0.0,2,0
Spain,Female,46.0,0.0,1,1
Spain,Female,33.0,0.0,2,0
Spain,Female,37.0,0.0,2,0
Spain,Female,34.0,0.0,2,0
Spain,Male,51.0,0.0,4,1
Spain,Female,33.0,0.0,2,0
Spain,Female,71.0,0.0,2,1
Spain,Female,37.0,0.0,1,0
Spain,Male,33.0,0.0,1,0
Spain,Female,56.0,0.0,3,1
Spain,Male,35.0,0.0,2,0
Spain,Female,41.0,86973.65,1,0
Spain,Female,45.0,91285.22,1,0
Spain,Male,35.0,0.0,2,0
Spain,Male,41.0,0.0,2,0
Spain,Male,39.0,0.0,1,0
Spain,Female,35.0,0.0,1,1
Spain,Female,59.0,131607.33,1,1
Spain,Male,37.0,0.0,1,0
Spain,Male,33.0,127822.93,1,0
Spain,Female,28.0,109528.14,1,1
Spain,Female,40.0,100471.34,1,0
