Geography,Gender,Age,Balance,NumOfProducts,Exited
France,Male,33.0,0.0,2,0
France,Male,33.0,0.0,2,0
France,Male,40.0,0.0,2,0
France,Male,34.0,148882.54,1,0
France,Female,30.0,144772.69,1,0
France,Male,43.0,0.0,2,0
France,Male,47.0,0.0,1,0
France,Female,33.0,190566.65,1,0
France,Female,25.0,0.0,2,0
France,Male,36.0,0.0,2,0
France,Male,36.0,117559.05,2,0
France,Male,61.0,153711.26,1,1
France,Male,41.0,0.0,2,0
France,Male,26.0,149879.66,2,0
France,Female,58.0,147262.11,1,0
France,Male,49.0,0.0,2,0
France,Male,32.0,0.0,2,0
France,Male,33.0,0.0,2,0
France,Female,36.0,128518.98,1,0
France,Male,37.0,0.0,2,0
France,Male,52.0,0.0,2,0
France,Male,30.0,114779.35,1,0
France,Female,27.0,0.0,2,0
France,Male,36.0,77253.22,2,0
France,Male,39.0,160541.0,2,0
France,Male,26.0,0.0,2,0
France,Female,29.0,92219.41,1,0
France,Male,25.0,131344.52,1,0
France,Female,31.0,0.0,2,0
France,Female,40.0,122314.64,1,1
France,Female,47.0,0.0,1,1
France,Male,36.0,112668.48,1,0
France,Male,31.0,0.0,2,0
France,Female,45.0,0.0,1,1
France,Female,29.0,0.0,2,0
France,Female,36.0,0.0,1,0
France,Male,31.0,0.0,2,0
France,Male,37.0,0.0,2,0
France,Female,54.0,0.0,1,1
France,Male,43.0,146425.31,1,0
France,Male,46.0,177799.83,1,0
France,Male,40.0,0.0,2,0
France,Male,34.0,123575.51,2,0
France,Male,42.0,127539.97,1,0
France,Male,31.0,141859.12,1,0
France,Male,29.0,0.0,2,0
France,Male,30.0,85704.95,1,0
France,Female,20.0,109026.6,1,0
France,Female,31.0,117799.28,1,0
France,Male,38.0,0.0,2,0
France,Female,26.0,0.0,2,1
France,Male,37.0,0.0,2,0
France,Female,50.0,0.0,1,1
France,Male,40.0,0.0,2,0
France,Female,25.0,121789.63,2,0
France,Female,28.0,90612.34,1,0
France,Male,39.0,117468.64,1,0
France,Female,46.0,0.0,2,0
France,Male,27.0,0.0,2,0
France,Female,32.0,0.0,2,0
France,Male,38.0,0.0,2,0
France,Male,43.0,0.0,1,1
France,Male,47.0,0.0,1,1
France,Male,35.0,185732.59,1,0
France,Female,40.0,0.0,1,1
France,Male,28.0,0.0,1,0
France,Female,46.0,0.0,1,1
France,Female,48.0,0.0,1,1
France,Male,29.0,0.0,2,0
France,Male,36.0,0.0,2,0
France,Female,42.0,0.0,2,0
France,Female,37.0,0.0,2,0
France,Male,34.0,0.0,2,0
France,Male,32.0,0.0,1,0
France,Female,59.0,0.0,2,0
France,Female,33.0,0.0,2,0
France,Male,37.0,0.0,2,0
France,Female,32.0,131354.25,1,0
France,Male,37.0,0.0,2,0
France,Male,43.0,80673.96,1,1
France,Male,23.0,0.0,2,0
France,Male,26.0,0.0,2,0
France,Female,26.0,0.0,2,0
France,Male,34.0,127864.4,1,0
France,Female,37.0,0.0,1,1
France,Male,27.0,0.0,2,0
France,Male,33.0,170228.59,1,0
France,Male,28.0,0.0,2,0
France,Male,28.0,0.0,1,0
France,Male,49.0,0.0,1,1
France,Male,51.0,0.0,2,1
France,Female,43.0,0.0,2,0
France,Female,38.0,0.0,2,0
France,Female,41.0,0.0,2,0
France,Male,38.0,125847.75,1,0
